"Grant.ID","category","date","description","amount"
"2253214-1920","Educational Materials","
  2022-07-15","
  EM ","
  10400
"
"2253214-2122","Educational Materials","
  2022-07-18","
  Uworld Educational Materials","
  12000
"
"2253214-2122","Faculty Development","
  2022-07-11","
  Guest lecturer for faculty development","
  1500
"
"2253214-2122","Licensing Fees","
  2022-07-07","
  DEA Licenses for 2nd Year Residents","
  6200
"
"2253214-2122","Travel","
  2022-10-10","
  Travel to conferences","
  5300
"
"2253179-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Salaries for residents not funded by Medicare GME","
  25000
"
"2253179-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Resident salaries not covered by Medicare GME funds.","
  25000
"
"2253179-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Salaries for residents not covered by Medicare GME.","
  25000
"
"2253158-1920","Educational Materials","
  2022-10-17","
  Books and scholarly activity","
  5621.71
"
"2253158-1920","Licensing Fees","
  2022-07-21","
  License Fees","
  3853.58
"
"2253158-1920","Salaries, Benefits and Wages","
  2022-07-30","
  Salary for residents rotating at Sutter Hospital","
  31105.92
"
"2253158-1920","Travel","
  2022-07-21","
  Travel to and from away rotations","
  9418.79
"
"2253158-2021","Educational Materials","
  2022-08-31","
  On-line library and Qbanks ","
  47818.31
"
"2253158-2021","Educational Workshops, Conferences or Retreat","
  2022-10-06","
  ACEP Conference","
  7060.11
"
"2253158-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-01","
  CORD Membership","
  1850
"
"2253158-2021","Travel","
  2022-07-22","
  Travel expenses to and from Ophthalmology rotation","
  2246.58
"
"2253158-2021","Resident Well-Being","
  2022-10-18","
  Octoberfest Wellness Event","
  1025
"
"2253158-2122","Educational Materials","
  2022-10-19","
  ACEP QBank and Suture Boxes for workshop","
  7309.14
"
"2253158-2122","Educational Workshops, Conferences or Retreat","
  2022-12-07","
  ACEP22 Conference Dr. Vittoreli","
  2600.7
"
"2253158-2122","Memberships, Subscriptions, and Professional Activity Costs","
  2022-07-22","
  ACEP Dues","
  3150
"
"2253158-2122","Travel","
  2022-08-09","
  Dr. Daas","
  21.98
"
"2253158-2122","Resident Well-Being","
  2022-10-10","
  Octoberfest Wellness Event","
  1918.18
"
"2253158-2122","Unused Funds","
  2022-12-30","
  These expenses will be recorded for the next reporting period","
  15000
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-15","
  AMA Memberships","
  440
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-11-09","
  ABFM Memberships","
  840
"
"2253267-2021","Educational Materials","
  2022-11-18","
  Board Review","
  7320
"
"2253267-2021","Educational Materials","
  2022-10-01","
  UWorld","
  3486.05
"
"2253267-2021","Licensing Fees","
  2022-07-28","
  PTL fees","
  7415.57
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-24","
  ABFM ITE","
  1550
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-31","
  ACGME Fees","
  6800
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-20","
  NRMP Fees","
  680
"
"2253267-2021","Travel","
  2022-11-16","
  Resident Travel Reimbursement","
  7615.91
"
"2253267-2021","Salaries, Benefits and Wages","
  2022-09-01","
  Faculty salaries","
  27547
"
"2253267-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-01","
  Professional dues","
  11305.47
"
"2253267-2122","Educational Materials","
  2022-08-31","
  Thalamus Online","
  2240
"
"2253267-2122","Educational Materials","
  2022-12-08","
  NEJM Subscription","
  4655
"
"2253267-2122","Educational Materials","
  2022-09-06","
  NEJM Knowledge+ ","
  6080
"
"2253267-2122","Resident Well-Being","
  2022-09-30","
  Wellness Day T-Shirts","
  4064.54
"
"2253267-2122","Resident Well-Being","
  2022-12-29","
  Wellness Event with Food","
  1360.55
"
"2253267-2122","Resident Well-Being","
  2022-10-17","
  Wellness Resident Run Registrations","
  844
"
"2253267-2122","Memberships, Subscriptions, and Professional Activity Costs","
  2022-11-11","
  Association for Hospital Medical Education Membership","
  2000
"
"2253267-2122","Educational Workshops, Conferences or Retreat","
  2022-08-25","
  Workshop - suturing supplies","
  109.26
"
"2253267-2122","Educational Workshops, Conferences or Retreat","
  2022-11-01","
  Resident Conference","
  3490.92
"
"2253267-2122","Educational Workshops, Conferences or Retreat","
  2022-10-01","
  Resident Conference","
  3129.5
"
"2253267-2122","Travel","
  2022-11-01","
  Resident travel reimbursements","
  9526.23
"
"2253159-1920","Salaries, Benefits and Wages","
  2022-07-05","
  Resident Salary support for expansion of 2 additional residents","
  75000
"
"2253159-1920","Salaries, Benefits and Wages","
  2022-07-05","
  Faculty salary support for additional faculty needed by the expansion of the program.","
  75000
"
"2253159-2021","Salaries, Benefits and Wages","
  2022-07-05","
  Faculty salary support for expansion of program","
  75000
"
"2253159-2122","Salaries, Benefits and Wages","
  2022-07-05","
  Resident Salary support for expansion of 2 additional residents","
  37500
"
"2253181-2021","Faculty Development","
  2022-11-01","
  Training for faculty champions in musculoskeletal medicine and integrative medicine for the underserved","
  15000
"
"2253181-2021","Educational Workshops, Conferences or Retreat","
  2022-08-31","
  Funding was utilized to send 3 Chief residents to AAFP Chief Resident Workshop","
  10000
"
"2253181-2122","Salaries, Benefits and Wages","
  2022-11-01","
  Faculty salary support for precepting/supervising residents at Innercare FQHC clinic for underserved population.","
  70000
"
"2253181-2122","Educational Workshops, Conferences or Retreat","
  2022-08-31","
  Travel for residents and key faculty to participate in professional conferences and meetings as part of professional development and to enhance awareness and develop techniques for engaging residents more effectively with the underserved local communities","
  5000
"
"2253215-2122","Salaries, Benefits and Wages","
  2022-11-01","
  Faculty salary support for precepting/supervising residents at Coachella Valley Volunteers in Medicine clinic for underserved population.","
  25000
"
"2253176-1920","Salaries, Benefits and Wages","
  2022-09-30","
  Qtr #1 Salary and Benefits for Bui, Phoebi ","
  19625
"
"2253176-1920","Salaries, Benefits and Wages","
  2022-12-30","
  Qtr 2 Partial Salary and Benefits for Bui, Phoebi (total for Qtr 2 is $22,896)","
  17875
"
"2253176-2021","Salaries, Benefits and Wages","
  2022-09-30","
  Qtr #1 Salary for Pesqueira, Juan Pablo","
  14745.6
"
"2253176-2021","Salaries, Benefits and Wages","
  2022-12-30","
  Qtr #2 Salary for Pesqueira, Juan Pablo (Partial amount - total for Qtr 2  is $17,203.30)","
  10254.4
"
"2253176-2122","Salaries, Benefits and Wages","
  2022-09-30","
  Qtr #1 Salary and Benefits for Allison Abad","
  14400
"
"2253176-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Qtr #2 Partial Salary and Benefits for Allison Abad (total cost $16,800)","
  10600
"
"2253182-2122","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Nguyen, Thao - Salaries ","
  20145.04
"
"2253182-2122","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Nguyen, Thao - Fringe Benefits","
  4854.96
"
"2253182-1920","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Burton, Lucas - Salaries ","
  20145.03
"
"2253182-1920","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Burton, Lucas - Fringe Benefits","
  4854.97
"
"2253182-2021","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Serna, Emily - Salaries ","
  20145.05
"
"2253182-2021","Salaries, Benefits and Wages","
  2022-12-30","
  7/1/22 - 12/31/22 Serna, Emily - Fringe Benefits","
  4854.95
"
"2253164-1920","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  187500
"
"2253164-2021","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  60000
"
"2253164-2122","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  25000
"
"2253193-1920","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  112500
"
"2253193-2021","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  25000
"
"2253193-2122","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  25000
"
"2253223-1920","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  50000
"
"2253223-2021","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  25000
"
"2253223-2122","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  25000
"
"2253279-2122","Salaries, Benefits and Wages","
  2022-07-02","
  Residency Program Administrative salary support","
  187500
"
"2253183-1920","Salaries, Benefits and Wages","
  2022-12-23","
  Partial salary for Jenn Tsai, MD from July 1, 2022 through December 31, 2022","
  37500
"
"2253183-2122","Salaries, Benefits and Wages","
  2022-12-23","
  Partial salary for Patricia Matus, DO from July 1, 2022 through December 31, 2022","
  25000
"
"2253236-1920","Salaries, Benefits and Wages","
  2022-07-04","
  These total available funds are used to support resident salary and benefits between 7/1/22 - 12-31-22","
  30000
"
"2253236-2021","Salaries, Benefits and Wages","
  2022-07-04","
  Total available funds are used for resident salary and benefits between 07-01-2022 - 12-31-2022","
  80000
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-11-01","
  Site Program Coordinator","
  9360
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-12-01","
  Site Program Coordinator","
  9360
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-07-02","
  Faculty teaching time","
  4800
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-08-01","
  Faculty teaching time","
  900
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-09-01","
  Faculty teaching time","
  1200
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-10-01","
  Faculty teaching time","
  1950
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-11-01","
  Faculty teaching time","
  1500
"
"2253235-1819","Salaries, Benefits and Wages","
  2022-12-01","
  Faculty teaching time","
  4500
"
"2253235-1819","Meals","
  2022-12-30","
  Resident Meals during educational conferences ","
  1700
"
"2253235-1819","Faculty Development","
  2022-12-30","
  Professional development","
  2230
"
"2253235-1920","Salaries, Benefits and Wages","
  2022-07-05","
  Site Director 0.3 FTE","
  11778.75
"
"2253235-1920","Salaries, Benefits and Wages","
  2022-08-01","
  Site Director 0.3 FTE","
  11778.75
"
"2253235-1920","Salaries, Benefits and Wages","
  2022-09-01","
  Site Director 0.3 FTE","
  11778.75
"
"2253235-1920","Salaries, Benefits and Wages","
  2022-10-03","
  Site Director 0.3 FTE","
  11778.75
"
"2253235-1920","Salaries, Benefits and Wages","
  2022-11-01","
  Site Director 0.3 FTE","
  3926.25
"
"2253235-1920","Faculty Development","
  2022-12-30","
  Professional Development","
  3958.75
"
"2253269-2021","Faculty Development","
  2022-10-31","
  ACEP Registration for Faculty Development ","
  11400.61
"
"2253269-2021","Educational Materials","
  2022-08-23","
  Hippo EM subscription ","
  1424
"
"2253269-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-01","
  NAEMSP membership ","
  562
"
"2253269-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-07-23","
  AACEM membership ","
  1000
"
"2253269-2021","Educational Workshops, Conferences or Retreat","
  2022-07-02","
  SAEM Conference registration","
  670
"
"2253269-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-02","
  SAEM Society Dues","
  765
"
"2253269-2021","Educational Workshops, Conferences or Retreat","
  2022-07-29","
  CORD conference registration","
  725
"
"2253269-2021","Travel","
  2022-07-15","
  CORD conference travel and housing","
  905
"
"2253269-2021","Travel","
  2022-10-31","
  Travel to ACEP","
  177
"
"2253269-2021","Educational Materials","
  2022-12-20","
  Pacer Man and Lumbar Puncture Simulab Trainer","
  29088
"
"2253269-2021","Unused Funds","
  2022-12-21","
  Unused Funds","
  50186.39
"
"2253268-2021","Educational Workshops, Conferences or Retreat","
  2022-08-27","
  R2 hotel, food, airfare for CAFP Summit Residency Fair in LA","
  1136.22
"
"2253268-2021","Educational Workshops, Conferences or Retreat","
  2022-08-27","
  FM Faculty hotel, food, airfare for CAFP Summit Residency Fair in LA","
  606.52
"
"2253268-2021","Educational Workshops, Conferences or Retreat","
  2022-08-27","
  CAFP Summit Residency Fair registration (3x)","
  500
"
"2253268-2021","Educational Materials","
  2022-07-05","
  Pronoun Buttons c/o Wellness Faculty Lead","
  80.81
"
"2253268-2021","Educational Materials","
  2022-10-27","
  Photos for Licensing (TNT Pictures)","
  1200
"
"2253268-2021","Educational Materials","
  2022-10-27","
  Notary for Licensing (Red Tomatoes)","
  530
"
"2253268-2021","Meals","
  2022-11-02","
  Volunteer Meal Serving at WIND Youth Shelter  ","
  1210.34
"
"2253268-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-27","
  STFM Memberships (1st transaction)","
  2130
"
"2253268-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-27","
  STFM Memberships (2nd transaction)","
  1200
"
"2253268-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-27","
  STFM Memberships (3rd transaction)","
  2420
"
"2253268-2021","Educational Workshops, Conferences or Retreat","
  2022-08-01","
  Faculty (1) hotel and accomodations. WPATH Conf submitted an abstract for Commision on Cancer Project to reduce CCS Disparities in Gender Diverse pts and collaborate with regional MST Team.","
  4091.37
"
"2253268-2021","Educational Workshops, Conferences or Retreat","
  2022-08-01","
  Faculty (2) hotel and accomodations. WPATH Conf submitted an abstract for Commision on Cancer Project to reduce CCS Disparities in Gender Diverse pts and collaborate with regional MST Team.","
  4091.37
"
"2253268-2021","Unused Funds","
  2022-12-30","
  Faculty Development &amp; Wellness Funds","
  79115.21
"
"2253184-1920","Contractual and Consultant Costs","
  2022-12-30","
  Petaluma Health Center - Faculty Precepting Hours ","
  37500
"
"2253184-2021","Recruitment","
  2022-11-23","
  SSU Travel Scholarship","
  2500
"
"2253184-2021","Faculty Development","
  2022-12-01","
  Ultrasound Training","
  11500
"
"2253184-2021","Educational Materials","
  2022-08-28","
  Simulation Supplies","
  1150
"
"2253184-2021","Educational Materials","
  2022-08-28","
  Cervical Exam Model","
  2500
"
"2253184-2021","Faculty Development","
  2022-12-13","
  NIPDD","
  10000
"
"2253184-2021","Faculty Development","
  2022-12-30","
  BM Fellowships","
  5000
"
"2253184-2021","Unused Funds","
  2022-12-30","
  Unused Funds","
  9100
"
"2253216-1920","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-08","
  Case Report Publication Cost Resident-Jackie Tsao","
  1865
"
"2253216-1920","Memberships, Subscriptions, and Professional Activity Costs","
  2022-08-25","
  Faculty ACP Due - Vang Kou Khang","
  334
"
"2253216-1920","Memberships, Subscriptions, and Professional Activity Costs","
  2022-09-06","
  Resident Medical Spanish Course - 2 Resident","
  230
"
"2253216-1920","Faculty Development","
  2022-09-12","
  Internal Medicine Symposium - Jason Gilbert","
  100
"
"2253216-1920","Educational Workshops, Conferences or Retreat","
  2022-10-08","
  ACP Conference Presentation - Rebecca Moon","
  917
"
"2253216-1920","Memberships, Subscriptions, and Professional Activity Costs","
  2022-10-20","
  Faculty ACP Due - Vang Kou Khang","
  595
"
"2253216-1920","Meals","
  2022-12-01","
  Faculty Appreciation Meeting","
  595
"
"2253216-1920","Resident Well-Being","
  2022-12-12","
  Resident Family Team Events","
  1060
"
"2253216-1920","Resident Well-Being","
  2022-12-19","
  Resident Winter Gathering - 45 Residents","
  668
"
"2253216-1920","Licensing Fees","
  2022-07-11","
  Post Graduate Training License Fees for 22 PGY1","
  14828
"
"2253216-1920","Licensing Fees","
  2022-07-11","
  DEA License Fee for 22 PGY1, 12 PGY2 ","
  21161
"
"2253216-2122","Salaries, Benefits and Wages","
  2022-12-30","
  Salaries, Benefits &amp; Wages For Resident","
  37500
"
"2253160-1920","Resident Well-Being","
  2022-10-21","
  Resident wellness event and meal PGY3","
  745
"
"2253160-1920","Licensing Fees","
  2022-08-25","
  Licensing fees x4 PGY3","
  1826
"
"2253160-1920","Meals","
  2022-09-08","
  Meals for PGY3 CCC (faculty/program coordinator/Pharm rep)","
  201.25
"
"2253160-1920","Travel","
  2022-09-10","
  Mileage for residency retreat x9 ","
  1911
"
"2253160-1920","Educational Workshops, Conferences or Retreat","
  2022-09-09","
  Supplies and equipment for residence retreat","
  465
"
"2253160-1920","Educational Materials","
  2022-12-30","
  Educational apps, question banks, reference matieral)","
  2700
"
"2253160-1920","Faculty Development","
  2022-07-11","
  POCUS training, CME for professional development, Subscriptions","
  4600
"
"2253160-1920","Educational Materials","
  2022-07-15","
  Books: The Four Agreements x9 &amp; Be Like Water x9","
  300
"
"2253160-1920","Medical Equipment","
  2022-07-11","
  Supplies for cadaver day","
  2000
"
"2253160-1920","Resident Well-Being","
  2022-11-07","
  Residency Jackets","
  6200.15
"
"2253160-1920","Faculty Development","
  2022-10-13","
  Management of the hospitalized patient conference","
  2401.6
"
"2253160-1920","Faculty Development","
  2022-11-11","
  UCLA Diabetes symposium","
  900
"
"2253160-1920","Faculty Development","
  2022-10-13","
  Management of the hospitalized patient (virtual)","
  750
"
"2253160-2021","Resident Well-Being","
  2022-09-30","
  Resident wellness event and meal","
  750.95
"
"2253160-2021","Licensing Fees","
  2022-11-28","
  Licensing fees x 4 PGY2","
  1369.5
"
"2253160-2021","Educational Workshops, Conferences or Retreat","
  2022-10-22","
  Online AAFP board review x 3 PGY2","
  3000
"
"2253160-2021","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-19","
  Step 3 x4 for PGY2","
  3580
"
"2253160-2021","Educational Workshops, Conferences or Retreat","
  2022-09-09","
  Residency retreat x 2 days","
  5723.46
"
"2253160-2021","Meals","
  2022-10-13","
  Meal for PGY2 CCC (faculty/Program coordinator/Pharmacy rep)","
  88.89
"
"2253160-2021","Resident Well-Being","
  2022-11-23","
  Thanksgiving wellness event/meal","
  573.72
"
"2253160-2021","Resident Well-Being","
  2022-12-30","
  Meals for Didactics (July - December)","
  3000
"
"2253160-2021","Educational Materials","
  2022-12-30","
  Synchronisity Ultrasound subscriptions and licensing fees for residents and faculty ","
  5210.6
"
"2253160-2021","Educational Materials","
  2022-11-14","
  Supplies for SIM sessions","
  1702.88
"
"2253160-2122","Licensing Fees","
  2022-12-30","
  Post Graduate Training License fee for 7 PGY1 &amp; 1 PGY2","
  3928
"
"2253160-2122","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-01","
  AAFP Membership and AFMRD membership - program director","
  1199
"
"2253160-2122","Educational Workshops, Conferences or Retreat","
  2022-11-01","
  ABFM Board Review Course for PGY3 - 7 residents","
  6405
"
"2253160-2122","Educational Materials","
  2022-12-30","
  Educational Stipends for residents (includes purchase of books, question banks, etc) - portion of actual expenditures","
  5131.9
"
"2253160-2122","Resident Well-Being","
  2022-10-14","
  PGY1 wellness","
  745
"
"2253160-2122","Meals","
  2022-11-10","
  Faculty dinner during CCC for PGY1","
  199.31
"
"2253160-2122","Resident Well-Being","
  2022-07-05","
  Resident team building/Wellness PGY1, faculty, program coordinator","
  442
"
"2253160-2122","Memberships, Subscriptions, and Professional Activity Costs","
  2022-12-30","
  ITE Regristration 21 residents","
  1050
"
"2253160-2122","Meals","
  2022-10-13","
  Meal/Snacks for weekly didiactics","
  201.13
"
